Timestamp,PT1401 (),PT1402 (),PT1403 (),T01 (°C),T02 (°C),Pump On,Pump Speed (%),Pump Speed (RPM)
2025-05-21T15:03:49.148886,50.02975509269856,0.40283817807278555,23.06248569466697,21.0,20.8,0,0,0.0
2025-05-21T15:03:49.270119,50.02975509269856,0.40283817807278555,23.044174868390936,21.0,20.8,0,0,0.0
2025-05-21T15:03:49.378527,50.07095445181964,0.40283817807278555,23.007553215838865,21.0,20.8,0,0,0.0
2025-05-21T15:03:49.521281,49.89242389562829,0.40283817807278555,23.053330281528954,21.0,20.8,0,0,0.0
2025-05-21T15:03:49.641334,50.32730601968414,0.40283817807278555,23.07164110780499,21.0,20.8,0,0,0.0
2025-05-21T15:03:49.694379,50.212863355458914,0.40283817807278555,23.10826276035706,21.0,20.8,0,0,0.0
2025-05-21T15:03:49.827529,50.212863355458914,0.40283817807278555,23.10826276035706,21.0,20.8,0,0,0.0
2025-05-21T15:03:49.951964,50.06179903868162,0.40283817807278555,23.035019455252918,21.0,20.8,0,0,0.0
2025-05-21T15:03:50.046615,50.249485008010986,0.40283817807278555,23.053330281528954,21.0,20.8,0,0,0.0
2025-05-21T15:03:50.157216,50.17624170290684,0.40283817807278555,23.007553215838865,21.0,20.8,0,0,0.0
2025-05-21T15:03:50.268586,49.92446784161135,0.40283817807278555,23.07164110780499,21.0,20.8,0,0,0.0
2025-05-21T15:03:50.392280,50.36392767223621,0.40283817807278555,23.099107347219043,21.0,20.8,0,0,0.0
2025-05-21T15:03:50.487037,50.26779583428702,0.40283817807278555,23.053330281528954,21.0,20.8,0,0,0.0
2025-05-21T15:03:50.588952,50.19913023575189,0.40283817807278555,23.035019455252918,21.0,20.8,0,0,0.0
2025-05-21T15:03:50.955983,50.19913023575189,0.40283817807278555,23.0258640421149,21.0,20.8,0,0,0.0
2025-05-21T15:03:51.004477,50.592813000686654,0.40283817807278555,23.06248569466697,21.0,20.8,0,0,0.0
2025-05-21T15:03:51.133421,50.592813000686654,0.40283817807278555,23.06248569466697,21.0,20.8,0,0,0.0
2025-05-21T15:03:51.241177,50.81254291599908,0.40283817807278555,23.080796520943007,21.0,20.8,0,0,0.0
2025-05-21T15:03:51.362463,50.28152895399405,0.40283817807278555,23.07164110780499,21.0,20.8,0,0,0.0
2025-05-21T15:03:51.457173,50.22659647516594,0.40283817807278555,23.080796520943007,21.0,20.8,0,0,0.0
2025-05-21T15:03:51.586295,50.36392767223621,0.40283817807278555,23.080796520943007,21.0,20.8,0,0,0.0
2025-05-21T15:03:51.702020,50.36850537880522,0.40283817807278555,23.053330281528954,21.0,20.8,0,0,0.0
2025-05-21T15:03:51.787945,50.460059510185395,0.39368276493476767,23.099107347219043,21.0,20.8,0,0,0.0
2025-05-21T15:03:51.898065,50.27695124742504,0.39368276493476767,23.06248569466697,21.0,20.8,0,0,0.0
2025-05-21T15:03:52.018860,50.49210345616846,0.40283817807278555,23.0258640421149,21.0,20.8,0,0,0.0
2025-05-21T15:03:52.124754,50.080109864957656,0.40283817807278555,23.126573586633096,21.0,20.8,0,0,0.0
2025-05-21T15:03:52.232978,50.501258869306476,0.40283817807278555,23.11741817349508,21.0,20.8,0,0,0.0
2025-05-21T15:03:52.328983,50.52414740215152,0.40283817807278555,23.099107347219043,21.0,20.8,0,0,0.0
2025-05-21T15:03:52.460795,50.63859006637674,0.39368276493476767,23.053330281528954,21.0,20.8,0,0,0.0
2025-05-21T15:03:52.566785,50.35477225909819,0.40283817807278555,33.5362783245594,21.0,20.8,0,0,0.0
2025-05-21T15:03:52.667873,50.38681620508125,0.40283817807278555,98.08194094758525,21.0,20.8,0,0,0.0
2025-05-21T15:03:52.787698,50.39597161821927,0.40283817807278555,99.34538796063171,21.0,20.8,0,0,0.0
2025-05-21T15:03:52.917995,50.711833371480886,0.40283817807278555,100.21515220874342,21.0,20.8,0,0,0.0
2025-05-21T15:03:52.961759,50.47379262989242,0.40283817807278555,100.54474708171206,21.0,20.8,0,0,0.0
2025-05-21T15:03:53.007874,50.94071869993133,0.40283817807278555,100.63630121309224,21.0,20.8,0,0,0.0
2025-05-21T15:03:53.098810,50.94071869993133,0.40283817807278555,100.63630121309224,21.0,20.8,0,0,0.0
2025-05-21T15:03:53.223313,50.505836575875485,0.40283817807278555,100.70038910505836,21.0,20.8,0,0,0.0
2025-05-21T15:03:53.320206,50.32730601968414,0.40283817807278555,100.66376745250629,21.0,20.8,0,0,0.0
2025-05-21T15:03:53.425011,50.31357289997711,0.40283817807278555,100.48065918974594,21.0,20.8,0,0,0.0
2025-05-21T15:03:53.550044,50.771343556878,0.40283817807278555,100.4623483634699,21.0,20.8,0,0,0.0
2025-05-21T15:03:53.646154,51.004806591897456,0.39368276493476767,100.37079423208972,21.0,20.8,0,0,0.0
2025-05-21T15:03:53.763019,50.47837033646143,0.39368276493476767,100.3616388189517,21.0,20.8,0,0,0.0
